Species	Family	Order	Method	Wing_status	Mass_mg	Metabolic_rate_µW
Lasius flavus	Formicidae	Hymenoptera	Closed	0	2.58	11.5
Lasius niger	Formicidae	Hymenoptera	Closed	0	1.74	6.1
Lasius sitiens	Formicidae	Hymenoptera	Closed	0	0.29	3.2
Forelius foetidus	Formicidae	Hymenoptera	Closed	0	0.1	1.3
Anoplolepis steinergroeveri	Formicidae	Hymenoptera	Open	0	4.94	14.1
Leptogenys attenuata	Formicidae	Hymenoptera	Open	0	4	12.3
Leptogenys nitida	Formicidae	Hymenoptera	Open	0	1.72	5.2
Leptogenys schwabi	Formicidae	Hymenoptera	Open	0	8.96	21
Paraponera clavata	Formicidae	Hymenoptera	Open	0	190	430.8
Eciton hamatum	Formicidae	Hymenoptera	Open	0	6	25.3
Unknown genus	Braconidae	Hymenoptera	Closed	0	1.7	27.8
Unknown genus						
Chaclidoidea		Hymenoptera	Closed	0	0.16	3.5
